,Date,Open,High,Low,Close,Volume,score,cont_len,compound_score,final_tag,target value,year,month,day
81,2012-07-26,1338.17,1363.13,1338.17,1360.02,714241984.0,2,71,-0.48,negative,1,2012,7,26
82,2012-07-27,1360.05,1389.19,1360.05,1385.97,751211776.0,1,69,0.71,positive,1,2012,7,27
83,2012-07-30,1385.94,1391.74,1381.37,1385.3,492528704.0,1,56,0.0,neutral,0,2012,7,30
84,2012-07-31,1385.27,1387.16,1379.17,1379.32,679418368.0,1,333,-0.25,negative,0,2012,7,31
85,2012-06-08,1391.04,1399.63,1391.04,1394.23,486460096.0,1,59,0.36,positive,1,2012,6,8
86,2012-07-08,1394.46,1407.14,1394.46,1401.35,533384384.0,1,675,0.75,positive,1,2012,7,8
87,2012-08-08,1401.23,1404.14,1396.13,1402.22,472937792.0,1,112,0.4,positive,1,2012,8,8
88,2012-09-08,1402.26,1405.95,1398.8,1402.8,456085696.0,1,332,-0.09,negative,1,2012,9,8
89,2012-10-08,1402.58,1405.98,1395.62,1405.87,490295616.0,2,29,0.0,neutral,1,2012,10,8
90,2012-08-13,1405.87,1405.87,1397.32,1404.11,396726784.0,2,105,0.27,positive,0,2012,8,13
91,2012-08-14,1404.36,1410.03,1400.6,1403.93,453956416.0,2,383,0.25,positive,0,2012,8,14
92,2012-08-15,1403.89,1407.73,1401.83,1405.53,438823200.0,1,232,-0.57,negative,1,2012,8,15
93,2012-08-16,1405.57,1417.44,1404.15,1415.51,521541184.0,1,101,0.0,neutral,1,2012,8,16
94,2012-08-17,1415.84,1418.71,1414.67,1418.16,600927232.0,1,214,0.0,neutral,1,2012,8,17
95,2012-08-20,1417.85,1418.13,1412.12,1418.13,443600704.0,2,52,0.27,positive,1,2012,8,20
96,2012-08-21,1418.13,1426.68,1410.86,1413.17,531114496.0,2,170,-0.66,negative,0,2012,8,21
97,2012-08-22,1413.09,1416.12,1406.78,1413.49,508463392.0,1,516,0.84,positive,1,2012,8,22
98,2012-08-23,1413.49,1413.49,1400.5,1402.08,462198016.0,1,96,0.0,neutral,0,2012,8,23
99,2012-08-24,1401.99,1413.46,1398.04,1411.13,432340000.0,-2,1681,0.73,positive,1,2012,8,24
100,2012-08-27,1411.13,1416.17,1409.11,1410.44,421847008.0,3,120,0.07,positive,0,2012,8,27
101,2012-08-28,1410.44,1413.63,1405.59,1409.3,410787904.0,2,12,0.0,neutral,0,2012,8,28
102,2012-08-29,1409.32,1413.95,1406.57,1410.49,408841216.0,2,11,0.0,neutral,1,2012,8,29
103,2012-08-30,1410.08,1410.08,1397.01,1399.48,406387488.0,5,19,0.4,positive,0,2012,8,30
104,2012-08-31,1400.07,1413.09,1398.96,1406.58,575151872.0,3,34,0.69,positive,1,2012,8,31
105,2012-05-09,1404.94,1408.81,1401.25,1403.43,485651104.0,2,115,0.67,positive,0,2012,5,9
106,2012-06-09,1403.74,1432.12,1403.74,1432.11,577384896.0,2,8,0.0,neutral,1,2012,6,9
107,2012-07-09,1432.12,1437.92,1431.45,1437.92,550364672.0,1,187,0.77,positive,1,2012,7,9
108,2012-10-09,1437.92,1438.74,1428.98,1429.08,494991808.0,2,228,-0.31,negative,0,2012,10,9
109,2012-11-09,1429.13,1437.76,1429.13,1433.56,527348704.0,1,58,0.73,positive,1,2012,11,9
110,2012-12-09,1433.56,1439.15,1432.99,1436.56,509502912.0,1,2555,0.94,positive,1,2012,12,9
111,2012-09-13,1436.56,1463.76,1435.34,1459.99,617087424.0,1,46,0.0,neutral,1,2012,9,13
112,2012-09-14,1460.07,1474.51,1460.07,1465.77,745929984.0,1,76,0.75,positive,1,2012,9,14
113,2012-09-17,1465.42,1465.63,1457.55,1461.19,525147488.0,1,136,0.42,positive,0,2012,9,17
114,2012-09-18,1461.19,1461.47,1456.13,1459.32,518979296.0,3,4,0.0,neutral,0,2012,9,18
115,2012-09-19,1459.5,1465.15,1457.88,1461.05,536734496.0,2,18,0.49,positive,1,2012,9,19
116,2012-09-20,1461.05,1461.23,1449.98,1460.26,541019392.0,1,363,0.4,positive,0,2012,9,20
117,2012-09-21,1460.34,1467.07,1459.51,1460.15,1501954944.0,3,114,0.82,positive,0,2012,9,21
118,2012-09-24,1459.76,1460.72,1452.06,1456.89,509948000.0,1,100,-0.33,negative,0,2012,9,24
119,2012-09-25,1456.94,1463.24,1441.59,1441.59,609070272.0,2,57,0.0,neutral,0,2012,9,25
120,2012-09-26,1441.6,1441.6,1430.53,1433.32,545300672.0,1,6,0.0,neutral,0,2012,9,26
121,2012-09-27,1433.36,1450.2,1433.36,1447.15,498622688.0,1,568,0.93,positive,1,2012,9,27
122,2012-09-28,1447.13,1447.13,1435.6,1440.67,640858624.0,1,158,0.91,positive,0,2012,9,28
123,2012-05-10,1461.4,1470.96,1456.89,1460.93,485459808.0,2,6,0.0,neutral,0,2012,5,10
124,2012-08-10,1460.93,1460.93,1453.1,1455.88,359194400.0,1,290,0.84,positive,0,2012,8,10
125,2012-09-10,1455.9,1455.9,1441.18,1441.48,487372192.0,1,53,0.0,neutral,0,2012,9,10
126,2012-10-10,1441.48,1442.52,1430.64,1432.56,463834208.0,2,749,0.91,positive,0,2012,10,10
127,2012-12-10,1432.84,1438.43,1425.53,1428.59,523056000.0,1,119,-0.07,negative,0,2012,12,10
128,2012-10-15,1428.75,1441.31,1427.24,1440.13,505754496.0,2,38,0.0,neutral,1,2012,10,15
129,2012-10-16,1440.31,1455.51,1440.31,1454.92,502769984.0,2,339,-0.15,negative,1,2012,10,16
130,2012-10-17,1454.22,1462.2,1453.35,1460.91,568299584.0,2,148,-0.13,negative,1,2012,10,17
131,2012-10-18,1460.94,1464.02,1452.63,1457.34,586051968.0,3,53,0.0,neutral,0,2012,10,18
132,2012-10-19,1457.34,1457.34,1429.85,1433.19,909848512.0,4,198,0.54,positive,0,2012,10,19
133,2012-10-22,1433.21,1435.46,1422.06,1433.82,537693504.0,3,1244,0.59,positive,1,2012,10,22
134,2012-10-23,1433.74,1433.74,1407.56,1413.11,608605312.0,1,35,0.0,neutral,0,2012,10,23
135,2012-10-24,1413.2,1420.04,1407.1,1408.75,561183104.0,1,673,0.96,positive,0,2012,10,24
136,2012-10-25,1409.74,1421.12,1405.14,1412.97,577411712.0,15,24,-0.66,negative,1,2012,10,25
137,2012-10-26,1412.97,1417.09,1403.28,1411.94,624422784.0,2,179,0.48,positive,0,2012,10,26
138,2012-10-31,1410.99,1418.76,1405.95,1412.16,669957888.0,2,193,-0.32,negative,1,2012,10,31
139,2012-05-11,1414.02,1419.9,1408.13,1417.26,485471488.0,4,42,0.0,neutral,1,2012,5,11
140,2012-06-11,1417.26,1433.38,1417.26,1428.39,564275776.0,2,71,0.74,positive,1,2012,6,11
141,2012-07-11,1428.27,1428.27,1388.14,1394.53,712068608.0,2,193,0.89,positive,0,2012,7,11
142,2012-08-11,1394.53,1401.23,1377.51,1377.51,628285504.0,2,191,0.4,positive,0,2012,8,11
143,2012-09-11,1377.55,1391.39,1373.03,1379.85,595169024.0,1,85,0.75,positive,1,2012,9,11
144,2012-12-11,1379.86,1384.87,1377.19,1380.03,300848512.0,1,309,0.89,positive,1,2012,12,11
145,2012-11-13,1380.03,1388.81,1371.39,1374.53,575005888.0,2,45,-0.74,negative,0,2012,11,13
146,2012-11-14,1374.64,1380.13,1352.5,1355.49,688834496.0,3,12,0.0,neutral,0,2012,11,14
147,2012-11-15,1355.41,1360.62,1348.05,1353.33,631895680.0,2,1431,0.68,positive,0,2012,11,15
148,2012-11-16,1353.36,1362.03,1343.35,1359.88,866366592.0,3,234,0.91,positive,1,2012,11,16
149,2012-11-19,1359.88,1386.89,1359.88,1386.89,589446592.0,1,52,0.0,neutral,1,2012,11,19
150,2012-11-20,1386.82,1389.77,1377.04,1387.81,529088608.0,1,24,0.0,neutral,1,2012,11,20
151,2012-11-21,1387.79,1391.25,1386.39,1391.03,408807200.0,1,115,-0.34,negative,1,2012,11,21
152,2012-11-26,1409.15,1409.15,1397.68,1406.29,532653792.0,2,289,0.53,positive,0,2012,11,26
153,2012-11-27,1406.29,1409.01,1398.03,1398.94,550774528.0,1,135,0.4,positive,0,2012,11,27
154,2012-11-28,1398.77,1410.31,1385.43,1409.93,577114176.0,3,180,-0.38,negative,1,2012,11,28
155,2012-11-29,1409.96,1419.7,1409.04,1415.95,531923104.0,5,35,-0.24,negative,1,2012,11,29
156,2012-11-30,1415.95,1418.86,1411.63,1416.18,855038976.0,1,160,0.19,positive,1,2012,11,30
157,2012-04-12,1409.46,1413.14,1403.65,1407.05,559464832.0,1,9,0.0,neutral,0,2012,4,12
158,2012-05-12,1407.05,1415.56,1398.23,1409.28,628384384.0,1,72,0.0,neutral,1,2012,5,12
159,2012-06-12,1409.43,1413.95,1405.93,1413.94,523124000.0,1,597,0.85,positive,1,2012,6,12
160,2012-07-12,1413.95,1420.34,1410.9,1418.07,487081600.0,6,231,0.0,neutral,1,2012,7,12
161,2012-10-12,1418.07,1421.64,1415.64,1418.55,488123584.0,1,74,0.42,positive,1,2012,10,12
162,2012-11-12,1418.55,1434.27,1418.55,1427.84,590599296.0,2,26,0.0,neutral,1,2012,11,12
163,2012-12-12,1427.84,1438.59,1426.76,1428.48,569768192.0,1,536,0.93,positive,1,2012,12,12
164,2012-12-13,1428.48,1431.36,1416.0,1419.45,522071712.0,0,202,0.0,neutral,0,2012,12,13
165,2012-12-14,1419.45,1419.45,1411.88,1413.58,533732512.0,1,202,0.7,positive,0,2012,12,14
166,2012-12-18,1430.47,1448.0,1430.47,1446.79,655620224.0,1,80,0.69,positive,1,2012,12,18
167,2012-12-19,1446.79,1447.75,1435.8,1435.81,576889024.0,1,289,0.61,positive,0,2012,12,19
168,2012-12-20,1435.81,1443.7,1432.82,1443.69,532168288.0,1,46,0.62,positive,1,2012,12,20
169,2012-12-21,1443.67,1443.67,1422.58,1430.15,1538061056.0,2,28,-0.62,negative,0,2012,12,21
170,2012-12-26,1426.66,1429.42,1416.43,1419.83,363632096.0,2,117,-0.57,negative,0,2012,12,26
